TEAM,CONFERENCE,TEAM,CONFERENCE
Texas State Bobcats,Sun Belt,Hampton,big-south
Southeastern Louisiana Lions,Southland,Hartford,america-east
Purdue Fort Wayne Mastodons,Horizon League,Harvard,ivy
St. Andrews Knights,,Hawaii,big-west
VMI Keydets,Southern,High Point,big-south
Florida Atlantic Owls,Conference USA,Hofstra,colonial
South Alabama Jaguars,Sun Belt,Holy Cross,patriot
St. Francis (PA) Red Flash,Northeast,Houston Baptist,southland
Pittsburgh Panthers,Atlantic Coast,Houston,aac
North Carolina Wesleyan Battling Bishops,,Howard,meac
Elon University Phoenix,Colonial Athletic Association,Idaho State,big-sky
Saint Peter's Peacocks,Metro Atlantic Athletic,Idaho,big-sky
St. John's Red Storm,Big East,Illinois-Chicago,horizon
Florida A&M Rattlers,Mid-Eastern Athletic,Illinois State,mvc
Florida Gulf Coast Eagles,Atlantic Sun,Illinois,big-ten
Idaho State Bengals,Big Sky,Incarnate Word,southland
Santa Clara Broncos,West Coast,Indiana State,mvc
Oral Roberts Golden Eagles,Summit,Indiana,big-ten
Missouri Tigers,Southeastern,Iona,maac
Sacred Heart Pioneers,Northeast,Iowa State,big-12
Rutgers Scarlet Knights,Big Ten,Iowa,big-ten
Northwestern St. Demons,Southland,Purdue-Fort Wayne,horizon
Texas Tech Red Raiders,Big 12,IUPUI,horizon
Illinois-Chicago Flames,Horizon League,Jackson State,swac
Northern Illinois Huskies,Mid-American,Jacksonville State,ovc
South Dakota State Jackrabbits,Summit,Jacksonville,atlantic-sun
West Virginia Mountaineers,Big 12,James Madison,colonial
Arizona State Sun Devils,Pacific-12,Kansas State,big-12
Rhode Island Rams,Atlantic 10,Kansas,big-12
SIU Edwardsville Cougars,Ohio Valley,Kennesaw State,atlantic-sun
Saint Louis Billikens,Atlantic 10,Kent State,mac
Texas-Permian Basin Falcons,,Kentucky,sec
Texas-El Paso Miners,Conference USA,La Salle,atlantic-10
Westmont Warriors,,Lafayette,patriot
CSU Northridge Matadors,Big West,Lamar,southland
Coastal Georgia Mariners,,Lehigh,patriot
Jacksonville Dolphins,Atlantic Sun,Liberty,atlantic-sun
Green Bay Phoenix,Horizon League,Lipscomb,atlantic-sun
Minnesota Golden Gophers,Big Ten,Cal State Long Beach,big-west
California Golden Bears,Pacific-12,Long Island University,northeast
Oregon St. Beavers,Pacific-12,Longwood,big-south
Flagler College Saints,,Louisiana,sun-belt
Florida International Panthers,Conference USA,Louisiana-Monroe,sun-belt
Mississippi Valley State Delta Devils,Southwestern Athletic,Louisiana State,sec
Arkansas Razorbacks,Southeastern,Louisiana Tech,cusa
Jacksonville St. Gamecocks,Ohio Valley,Louisville,acc
Alabama Crimson Tide,Southeastern,Loyola (IL),mvc
Tennessee Tech Golden Eagles,Ohio Valley,Loyola Marymount,wcc
Indiana Hoosiers,Big Ten,Loyola (MD),patriot
Houston Baptist Huskies,Southland,Maine,america-east
Texas Christian Horned Frogs,Big 12,Manhattan,maac
Texas Rio Grande Valley Vaqueros,Western Athletic,Marist,maac
Texas Longhorns,Big 12,Marquette,big-east
Charleston Southern Buccaneers,Big South,Marshall,cusa
NC State Wolfpack,Atlantic Coast,Maryland-Baltimore County,america-east
South Dakota Coyotes,Summit,Maryland-Eastern Shore,meac
Colorado Buffaloes,Pacific-12,Maryland,big-ten
Westminster (UT) Griffins,,Massachusetts-Lowell,america-east
Brigham Young Cougars,West Coast,Massachusetts,atlantic-10
Southern Utah Thunderbirds,Big Sky,McNeese State,southland
Loyola Marymount Lions,West Coast,Memphis,aac
Sam Houston St. Bearkats,Southland,Mercer,southern
Southern Methodist Mustangs,American Athletic Conference,Merrimack,northeast
Clemson Tigers,Atlantic Coast,Miami (FL),acc
Mississippi State Bulldogs,Southeastern,Miami (OH),mac
Dallas Christian Crusaders,,Michigan State,big-ten
Tarleton State Texans,Western Athletic,Michigan,big-ten
Central Conn. St. Blue Devils,Northeast,Middle Tennessee,cusa
Connecticut Huskies,Big East,Milwaukee,horizon
Texas A&M-International Dust Devils,,Minnesota,big-ten
Texas A&M-CC Islanders,Southland,Mississippi State,sec
Grambling State Tigers,Southwestern Athletic,Mississippi Valley State,swac
Grand Canyon Antelopes,Western Athletic,Mississippi,sec
Georgia St. Panthers,Sun Belt,Missouri-Kansas City,summit
Georgia Tech Yellow Jackets,Atlantic Coast,Missouri State,mvc
California Baptist Lancers,Western Athletic,Missouri,sec
Southern California Trojans,Pacific-12,Monmouth,maac
Adams St. Grizzlies,,Montana State,big-sky
Weber St. Wildcats,Big Sky,Montana,big-sky
Villanova Wildcats,Big East,Morehead State,ovc
Boston College Eagles,Atlantic Coast,Morgan State,meac
VCU Rams,Atlantic 10,Mount St. Mary's,northeast
Utah St. Aggies,Mountain West,Murray State,ovc
Montana St. Bobcats,Big Sky,Navy,patriot
UNLV Rebels,Mountain West,Omaha,summit
UC Davis Aggies,Big West,Nebraska,big-ten
Nicholls State Colonels,Southland,Nevada-Las Vegas,mwc
Eastern Illinois Panthers,Ohio Valley,Nevada,mwc
Wisconsin Badgers,Big Ten,New Hampshire,america-east
Arkansas-Pine Bluff Golden Lions,Southwestern Athletic,New Mexico State,wac
Marquette Golden Eagles,Big East,New Mexico,mwc
Bethesda Flames,,New Orleans,southland
Sacramento State Hornets,Big Sky,Niagara,maac
UCLA Bruins,Pacific-12,Nicholls State,southland
San Diego St. Aztecs,Mountain West,NJIT,america-east
Texas Southern Tigers,Southwestern Athletic,Norfolk State,meac
Washington St. Cougars,Pacific-12,North Alabama,atlantic-sun
Seattle Redhawks,Western Athletic,North Carolina-Asheville,big-south
Portland Pilots,West Coast,North Carolina A&T,meac
Point Park Pioneers,,North Carolina Central,meac
Robert Morris Colonials,Horizon League,North Carolina-Greensboro,southern
Drexel Dragons,Colonial Athletic Association,North Carolina State,acc
Penn St. Nittany Lions,Big Ten,North Carolina-Wilmington,colonial
Texas-San Antonio Roadrunners,Conference USA,North Carolina,acc
Oklahoma Sooners,Big 12,North Dakota State,summit
Gardner-Webb Runnin' Bulldogs,Big South,North Dakota,summit
Duke Blue Devils,Atlantic Coast,North Florida,atlantic-sun
Eastern Washington Eagles,Big Sky,North Texas,cusa
Oregon Ducks,Pacific-12,Northeastern,colonial
Middle Tennessee St. Blue Raiders,Conference USA,Northern Arizona,big-sky
Kansas Jayhawks,Big 12,Northern Colorado,big-sky
Gonzaga Bulldogs,West Coast,Northern Illinois,mac
La Salle Explorers,Atlantic 10,Northern Iowa,mvc
Southern Jaguars,Southwestern Athletic,Northern Kentucky,horizon
Auburn Tigers,Southeastern,Northwestern State,southland
Saint Joseph's Hawks,Atlantic 10,Northwestern,big-ten
Belmont Bruins,Ohio Valley,Notre Dame,acc
Howard Bison,Mid-Eastern Athletic,Oakland,horizon
Northwest University Eagles,,Ohio State,big-ten
Louisiana State Tigers,Southeastern,Ohio,mac
Queens University of Charlotte Royals,,Oklahoma State,big-12
George Mason Patriots,Atlantic 10,Oklahoma,big-12
North Texas Mean Green,Conference USA,Old Dominion,cusa
New Orleans Privateers,Southland,Oral Roberts,summit
Norfolk State Spartans,Mid-Eastern Athletic,Oregon State,pac-12
Troy Trojans,Sun Belt,Oregon,pac-12
Rice Owls,Conference USA,Pacific,wcc
Incarnate Word Cardinals,Southland,Penn State,big-ten
Tulane Green Wave,American Athletic Conference,Pennsylvania,ivy
Bryant Bulldogs,Northeast,Pepperdine,wcc
Syracuse Orange,Atlantic Coast,Pittsburgh,acc
Boise St. Broncos,Mountain West,Portland State,big-sky
East Carolina Pirates,American Athletic Conference,Portland,wcc
Charlotte 49ers,Conference USA,Prairie View,swac
UNC Asheville Bulldogs,Big South,Presbyterian,big-south
Seton Hall Pirates,Big East,Princeton,ivy
Arkansas St. Red Wolves,Sun Belt,Providence,big-east
Marshall Thundering Herd,Conference USA,Purdue,big-ten
Buffalo Bulls,Mid-American,Quinnipiac,maac
Arizona Wildcats,Pacific-12,Radford,big-south
Greenville Panthers,,Rhode Island,atlantic-10
Richmond Spiders,Atlantic 10,Rice,cusa
UNC Greensboro Spartans,Southern,Richmond,atlantic-10
Cal Poly SLO Mustangs,Big West,Rider,maac
Valparaiso Basketball Team,Missouri Valley,Robert Morris,horizon
Vanderbilt Commodores,Southeastern,Rutgers,big-ten
Longwood Lancers,Big South,Sacramento State,big-sky
Mobile Rams,,Sacred Heart,northeast
Louisiana Tech Bulldogs,Conference USA,Saint Francis (PA),northeast
Hartford Hawks,America East,Saint Joseph's,atlantic-10
Florida State Seminoles,Atlantic Coast,Saint Louis,atlantic-10
Detroit Mercy Titans,Horizon League,Saint Mary's (CA),wcc
New Mexico St. Aggies,Western Athletic,Saint Peter's,maac
Arizona Christian Firestorm,,Sam Houston State,southland
Our Lady of the Lake Saints,,Samford,southern
Southern Miss Golden Eagles,Conference USA,San Diego State,mwc
